company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Venture Logistics Rail Warehouse,,,no,66.43,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
ACME Distribution,acmd.com,,no,66.43,C,2,"Denver, CO",US PL Denver Factory,company_exact:high
Gefran Cargo CrossDock & Warehouse,,,no,66.43,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Doka Distribution Center North America Ltd.,,,no,66.43,C,1,"Houston, TX",US PL S Houston Factory,
Pasadena Liquor Warehouse,,,no,66.43,C,1,"Pasadena, TX",US PL Pasadena Factory,
Dish Distribution Center,,,no,66.43,C,1,"Denver, CO",US PL Denver Factory,
Extra Transportation & Logistics Inc.,,,no,66.43,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
Lemberg Logistics Inc,lembergfreight.com,,no,66.43,C,1,"Sacramento, CA",US PL Sacramento Factory,company_exact:high
"Organic Food Manufacturing, LLC",,,no,66.43,C,1,"Grand Prairie, TX 75050, USA",US PL Dallas 2 Factory,
"Rocky Mountain Foods, Inc.",,,no,66.43,C,1,"Denver, CO",US PL Denver Factory,
Thermal Solutions Manufacturing,,,no,66.41,C,1,"Dallas, TX",US PL Dallas 2 Factory,
Miller Trucking,,,no,66.41,C,1,"Buxton, ME",US PL Hollis Factory,
"Metalworking Chemicals & Equipment Co., Inc.",,,no,66.41,C,1,"Malta, NY",US PL Saratoga Spring Factory,
Pipeline Packaging - Dallas,,,no,66.33,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
"SCHÜTZ Container Systems, Inc.",containersystems.com,,no,66.33,D,1,"Pasadena, TX",US PL Pasadena Factory,parent_facility:medium
Lehigh Valley Logistics,,,no,66.29,C,1,"Allentown, PA",US DC NFI - Breinigsville,
JTS WAREHOUSE MANAGEMENT CROSS-DOCK,,,no,66.29,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
"Asap logistics Inc - Warehouse, Storage, Distribution and Cross Dock",,,no,66.29,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
R+L Global Logistics,rlglobal.com,,no,66.29,C,3,"Aurora, CO",US PL Denver Factory,company_exact:high
Service Steel Warehouse,,,no,66.29,C,1,"Houston, TX",US PL S Houston Factory,
Warehouse Lounge And Event Center,,,no,66.29,C,1,"Dallas, TX",US PL Dallas 2 Factory,
"S H Logistics, LLC",,,no,66.29,C,1,"Aurora, CO",US PL Denver Factory,
First Food Co,,,no,66.29,C,1,"Dallas, TX",US PL Dallas 2 Factory,
Babco Foods International,,,no,66.29,C,1,"Dallas, TX",US PL Dallas 2 Factory,
La Torre Foods USA,,,no,66.29,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Stratas Foods LLC,stratasfoods.com,54735414086,yes,66.29,C,1,"Houston, TX",US PL S Houston Factory,package
Golden State Fire,,,no,66.28,D,1,"Sacramento, CA",US PL Sacramento Factory,
Madison Metropolitan Sewerage District,,,no,66.28,D,1,"Madison, WI",US PL Madison Factory,
Kunafa Factory,,,no,66.27,C,1,"Arlington, TX",US PL Dallas 2 Factory,
Chi Manufacturing,,,no,66.26,C,1,"Englewood, CO",US PL Denver Factory,
Metal Manufacturing Company,,,no,66.26,C,1,"Sacramento, CA",US PL Sacramento Factory,
84 Lumber Manufacturing Plant,,,no,66.26,C,3,"Franklin, IN",US PL Greenwood Indiana,
ePac Flexible Packaging,epacflexibles.com,,no,66.18,D,2,"Chino, CA",US PL Ontario Factory,company_exact:high
In-N-Out Burger Distribution Center,in-n-out.com,55554510199,yes,66.15,C,1,"Lancaster, TX",US PL Dallas 2 Factory,package
Brakebush Grand Prairie Cold Storage,,,no,66.15,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Houston Commodity Warehouse,,,no,66.15,C,1,"Houston, TX",US PL S Houston Factory,
DART Irving Warehouse,,,no,66.15,C,1,"Irving, TX",US PL Dallas 2 Factory,
Global Logistics,glifreight.com,,no,66.15,C,1,"Arlington, TX",US PL Dallas 2 Factory,company_exact:high
Warehouse Equipment Solutions,iesholdings.com,54774295861,yes,66.15,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,package
Racetrac DFW Distribution Center,,,no,66.15,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
Glen Wills Distribution,,,no,66.15,C,1,"Carmichael, CA",US PL Sacramento Factory,
Mi Rancho,,,no,66.15,C,1,"Elk Grove, CA",US PL Sacramento Factory,
"Pack'n Fresh, LLC.",,,no,66.15,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
J B Smith Manufacturing Co,,,no,66.12,C,1,"Houston, TX",US PL S Houston Factory,
Nomad Trucking,,,no,66.12,C,1,"Buxton, ME",US PL Hollis Factory,
On Time Cross Docking,,,no,66.11,D,1,"Ontario, CA",US PL Ontario Factory,
Prime Cross Dock,,,no,66.11,D,1,"Ontario, CA",US PL Ontario Factory,
South Houston HEB eFC,,,no,66.11,D,1,"Houston, TX",US PL S Houston Factory,
270 West Mini Storage,,,no,66.11,D,1,"Hot Springs, AR",US DC Hot Springs (WHSE),
NS Reading Line - Mertztown Train Station,,,no,66.11,D,1,"Mertztown, PA",US PL Allentown NPL Factory,
Neu Logistics Services,,,no,66.02,C,1,"Allentown, PA",US DC NFI - Breinigsville,
Am-C Warehouses Inc,,,no,66.02,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,
WDS Logistics - DFW,,,no,66.02,C,2,"Grand Prairie, TX",US PL Dallas 2 Factory,
Bud's Warehouse,,,no,66.02,C,1,"Aurora, CO",US PL Denver Factory,
Champion Logistics Group,champion.com,54773571345,yes,66.02,C,1,"Grand Prairie, TX",US PL Dallas 2 Factory,package
Sacramento Logistics Llc,,,no,66.02,C,2,"North Highlands, CA",US PL Sacramento Factory,
Custom Care Logistics,,,no,66.02,C,1,"McClellan Park, CA",US PL Sacramento Factory,
Fruitful Earth Farms,,,no,66.02,C,1,"Lake City, FL",US PL High Springs Factory,
Colorado Quality Foods,,,no,66.02,C,1,"Denver, CO",US PL Denver Factory,
Amy Food Inc,,,no,66.02,C,1,"Houston, TX",US PL S Houston Factory,
Vesana Logistics LLC,,,no,66.01,A,1,"Lutz, FL",US PL Zephyrhills Factory,
Gulf Coast Supply & Manufacturing,gulfcoastsupply.com,,no,65.98,C,2,"Alachua, FL",US PL High Springs Factory,company_core:high
Curtis Industrial Park,,,no,65.98,C,1,"Ballston Spa, NY",US PL Saratoga Spring Factory,
Tupinix Smart Factory Solutions,,,no,65.98,C,1,"Allentown, PA",US DC NFI - Breinigsville,
B Braun Medical Inc.,bbraunusa.com,54757273946,yes,65.94,D,1,"Breinigsville, PA",US DC NFI - Breinigsville,package
Gotta Go Transport,,,no,65.94,D,1,"High Springs, FL",US PL High Springs Factory,
Colorado Cold Warehousing & Storage,,,no,65.94,D,1,"Denver, CO",US PL Denver Factory,
"Kuraray America, Inc.",kuraray.com,,no,65.94,D,1,"Houston, TX",US PL Pasadena Factory,company_exact:high
"Universal Chain, Inc Corporate HQ",,,no,65.94,D,1,"Denver, CO",US PL Denver Factory,
The Boeing Company,boeing.com,,no,65.94,D,1,"Houston, TX",US PL Pasadena Factory,company_exact:high
