company,domain,hubspot_company_id,in_hubspot,composite,tier,sites,city_state,nearest_primo,domain_source
Advanced Manufacturing Development,,,no,46.04,D,1,"Houston, TX",US PL S Houston Factory,
South Atlantic Canners,,,no,46,D,1,"Bishopville, SC",US PL McBee Factory,
WSI,wsinc.com,,no,46,D,1,"San Bernardino, CA",US PL Ontario Factory,company_exact:high
Cedarstone Industry,,,no,46,D,1,"Houston, TX",US PL S Houston Factory,
Pure Laboratories,,,no,46,D,1,"Gainesville, FL",US PL High Springs Factory,
Daniel's Cold Storage,,,no,45.99,C,1,"Pico Rivera, CA",US PL Ontario Factory,
Solitude Logistics Inc,,,no,45.99,C,1,"Longview, TX",US PL Hawkins Factory,
TQB- Carolina Beverage,carolinabeveragegroup.com,,no,45.99,C,1,"Roanoke, TX",US PL Dallas 2 Factory,parent_facility:medium
Grampa's Garden,,,no,45.95,C,1,"Brunswick, ME",US PL Poland Spring Factory,
Dallas Mainfreight Transport,,,no,45.92,C,1,"Fort Worth, TX",US PL Dallas 2 Factory,
"Thurston and Peters Sugarhouse, LLC",,,no,45.9,C,1,"West Newfield, ME",US PL Hollis Factory,
Diamond State Trucking Inc,,,no,45.9,C,1,"Malvern, AR",US DC Hot Springs (WHSE),
Polyset,,,no,45.87,D,1,"Mechanicville, NY",US PL Saratoga Spring Factory,
Soshaul Logistics,,,no,45.86,C,1,"Mt Pleasant, MI",US PL Mecosta Factory,
New York Wine & Liquor Warehouse,nyandcompany.com,,no,45.85,C,1,"Rensselaer, NY",US PL Saratoga Spring Factory,parent_facility:medium
N.y.s. Department Of Social Services - Food Distribution Center,,,no,45.85,C,1,"Albany, NY",US PL Saratoga Spring Factory,
QUANTUM ONE LOGISTICS LLC,,,no,45.78,C,1,"Albany, NY",US PL Saratoga Spring Factory,
Buchanan Fabrication,,,no,45.74,D,1,"Mt Croghan, SC",US PL McBee Factory,
Allentown Refrigerated Terminals,,,no,45.74,D,1,"Boyertown, PA",US PL Allentown NPL Factory,
Fraccaro Industries Inc,,,no,45.74,D,1,"Boyertown, PA",US PL Allentown NPL Factory,
Trinity Insitution - Food Distribution Center,,,no,45.64,C,1,"Albany, NY",US PL Saratoga Spring Factory,
Greylock Storage,,,no,45.59,D,1,"Glens Falls, NY",US PL Saratoga Spring Factory,
Moto Transportation & Cross Dock,,,no,45.59,D,1,"Grapevine, TX",US PL Dallas 2 Factory,
Transport Logistics LLC,,,no,45.59,C,3,"Indianapolis, IN",US PL Greenwood Indiana,
The Warehouse Church,,,no,45.59,C,1,"Valrico, FL",US PL Zephyrhills Factory,
Oliventures Inc.,,,no,45.59,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
Amazon DNH2,amazon.com,8981959027,yes,45.59,A,1,"Hooksett, NH",US PL Hollis Factory,package
Infinity Bottling,,,no,45.57,A,1,"American Canyon, CA",US PL Sacramento Factory,HOLD: independent/landmark bottler - verify franchise domain
Specialty Packaging Inc.,,,no,45.55,D,1,"Fort Worth, TX",US PL Dallas 2 Factory,
Paramont Manufacturing,,,no,45.51,D,1,"Fort Worth, TX",US PL Dallas 2 Factory,
Total Truck Transport (TPA),mum.ttspl.in,,no,45.51,C,1,"Tampa, FL",US PL Zephyrhills Factory,parent_facility:medium
Alvin Chemical Inc,,,no,45.5,D,1,"Alvin, TX",US PL Pasadena Factory,
Alummikon,,,no,45.5,D,1,"Naples, ME",US PL Poland Spring Factory,
Guitar Center Warehouse,guitarcenter.com,54406542505,yes,45.5,C,1,"Brownsburg, IN",US PL Greenwood Indiana,package
North Monmouth Food Pantry - Food Distribution Center,,,no,45.5,C,1,"North Monmouth, ME",US PL Poland Spring Factory,
Certified Foods Inc,,,no,45.5,C,1,"Woodland, CA",US PL Sacramento Factory,
Famois Freight,,,no,45.5,C,1,"Longview, TX",US PL Hawkins Factory,
Amazon Fulfillment VXO6,amazon.com,8981959027,yes,45.5,A,1,"Oakley, CA",US PL Sacramento Factory,package
"Mt. Olive Manufacturing, Inc.",,,no,45.49,D,1,"Mooresville, IN",US PL Greenwood Indiana,
United Vision Logistics,uvlogistics.com,,no,45.48,C,1,"Gladewater, TX",US PL Hawkins Factory,company_exact:high
Superstar Storage,,,no,45.44,C,1,"Longview, TX",US PL Hawkins Factory,
Vital Eats,,,no,45.44,C,1,"Albany, NY",US PL Saratoga Spring Factory,
Citi Trends Distribution Center,cititrends.com,54771843935,yes,45.42,C,1,"Darlington, SC",US PL McBee Factory,package
Santa Fe Warehouse,,,no,45.42,C,1,"Moreno Valley, CA",US PL Cabazon Factory,
Amazon Fulfillment SCK8,amazon.com,8981959027,yes,45.4,A,1,"Oakley, CA",US PL Sacramento Factory,package
Cross Dock & Warehousing - Supply Solutions America,,,no,45.39,D,1,"Coppell, TX",US PL Dallas 2 Factory,
KGP Cross Dock,,,no,45.39,D,1,"Coppell, TX",US PL Dallas 2 Factory,
Brooks Sports Inc. Distribution Center,,,no,45.37,C,1,"Whitestown, IN",US PL Greenwood Indiana,
Daim Logistics,daimlogistics.com,45140762112,yes,45.37,C,1,"Fultonville, NY",US PL Saratoga Spring Factory,package
Lakewood Manufacturing Co,,,no,45.36,D,1,"Morrison, CO",US PL Denver Factory,
Suominen Bethune,,,no,45.33,D,1,"Bethune, SC",US PL McBee Factory,
SAB FULFILLMENT INC,,,no,45.33,C,1,"Houston, TX",US PL S Houston Factory,
Sur La Table Warehouse,surlatable.com,54773472887,yes,45.33,C,1,"Brownsburg, IN",US PL Greenwood Indiana,package
Belted Cow Company Warehouse Store,,,no,45.33,C,1,"Cumberland Foreside, ME",US PL Poland Spring Factory,
Frontline Freight Inc,frontlinefreightinc.com,,no,45.33,C,1,"City of Industry, CA",US PL Ontario Factory,company_exact:high
Marchaland Farms,,,no,45.3,C,1,"Greenwich, NY",US PL Saratoga Spring Factory,
M46 Auto Truck Plz,,,no,45.3,C,1,"Howard City, MI",US PL Mecosta Factory,
GNC Indianapolis Distribution Center,,,no,45.3,C,1,"Whitestown, IN",US PL Greenwood Indiana,
M & M Industries,ultimatepail.com,,no,45.29,D,1,"Portland, ME 04102, USA",US PL Hollis Factory,company_exact:high
TMG Manufacturing,,,no,45.29,D,1,"Tampa, FL",US PL Zephyrhills Factory,
"MILLER EXPRESS LOGISTICS, LLC",,,no,45.27,C,1,"Midlothian, TX 76065, USA",US PL Dallas 2 Factory,
Loves,loves.com,54404163397,yes,45.26,D,1,"Winona, TX",US PL Hawkins Factory,package
Launch Automation,,,no,45.26,D,1,"Raymond, ME",US PL Poland Spring Factory,
"Acceptance Now (inside ABC Warehouse)⁸,",,,no,45.24,C,1,"Mt Pleasant, MI",US PL Mecosta Factory,
Hirschbach,hirschbach.com,45010181476,yes,45.18,D,1,"Dover, FL",US PL Zephyrhills Factory,package
Desert Empire Transfer & Storage,,,no,45.18,D,1,"San Bernardino, CA",US PL Ontario Factory,
"Aws, Inc.",,,no,45.18,D,1,"South Portland, ME",US PL Hollis Factory,
Boyle Warehouse,,,no,45.17,C,1,"Lugoff, SC",US PL McBee Factory,
First Presbyterian Church - Food Distribution Center,,,no,45.17,C,1,"Johnstown, NY",US PL Saratoga Spring Factory,
Americold Logistics Ft Smith Hwy 45,americold.com,,no,45.17,A,1,"Fort Smith, AR",US PL Hot Springs Factory,curated:
Wolf's Mini Warehouses,,,no,45.16,C,1,"Cambridge, WI",US PL Madison Factory,
"Sabattus Machine Works, Inc.",,,no,45.14,D,1,"Sabattus, ME",US PL Poland Spring Factory,
Regeneron Warehouse,,,no,45.1,C,1,"Rensselaer, NY",US PL Saratoga Spring Factory,
No Problem Warehouse & Cross-Dock,,,no,45.07,C,1,"City of Industry, CA",US PL Ontario Factory,
G&B Fulfillment,,,no,45.07,C,1,"Woodland, CA",US PL Sacramento Factory,
J.H. Rose Logistics,,,no,45.07,C,2,"Valrico, FL",US PL Zephyrhills Factory,
Sherwin-Williams Manufacturing Plant & Distribution Center,sherwin-auto.cl,,no,45.01,A,1,"Victorville, CA",US PL Ontario Factory,company_core:high
Karisma Ford Logistics LLC.,ford.com,45131677516,yes,44.97,C,1,"Bryant, AR",US PL Hot Springs 2 Factory,package
"Protective Packaging, Inc.",,,no,44.97,C,1,"Lugoff, SC",US PL McBee Factory,
Amazon Warehouse WNY4,amazon.com,8981959027,yes,44.96,A,1,"Granville, NY",US PL Saratoga Spring Factory,package
Whalen's Horseradish Products,,,no,44.95,C,1,"Galway, NY",US PL Saratoga Spring Factory,
Ruts Ridge Farm,,,no,44.95,C,1,"Greenwich, NY",US PL Saratoga Spring Factory,
Blue Planet Alkaline Water,,,no,44.94,C,1,"Palm Springs, CA",US PL Cabazon Factory,
Tampa Port Truck Park,,,no,44.92,D,1,"Tampa, FL",US PL Zephyrhills Factory,
Smart Foods,,,no,44.9,C,1,"Montebello, CA",US PL Ontario Factory,
Ocean Spray Cranberries Inc,oceanspray.com,54700172547,yes,44.89,B,1,"Sulphur Springs, TX",US PL Hawkins Factory,package
"Ajax Paving Industries of Florida, LLC - Plant 6 (Tampa)",ajaxpavingfl.com,54771778060,yes,44.85,D,1,"Tampa, FL",US PL Zephyrhills Factory,package
"Southern Manufacturing Technologies, Inc.",,,no,44.85,D,1,"Tampa, FL",US PL Zephyrhills Factory,
Plantation Shutter Warehouse,,,no,44.84,C,1,"Gilmer, TX",US PL Hawkins Factory,
Sandhill Warehouse,,,no,44.83,C,1,"Lugoff, SC",US PL McBee Factory,
Union Manufacturing Company,,,no,44.81,D,1,"Boyertown, PA",US PL Allentown NPL Factory,
Fritz Industries,,,no,44.78,D,1,"Mesquite, TX",US PL Dallas 2 Factory,
Fedrigoni Special Papers North America Distribution Center,,,no,44.77,C,1,"Albany, NY",US PL Saratoga Spring Factory,
Shovel and Spoon,,,no,44.72,C,1,"Limington, ME",US PL Hollis Factory,
Sprague Terminal,,,no,44.69,D,1,"Portland, ME",US PL Hollis Factory,
KB Specialty Foods (Kroger Manufacturing),kroger.com,8536615981,yes,44.65,A,1,"Greensburg, IN",US PL Greenwood Indiana,package
JVL1 Amazon Distribution Center,amazon.com,8981959027,yes,44.65,A,1,"Beloit, WI",US PL Madison Factory,package
"Amazon Career Center - Beloit, WI",amazon.com,8981959027,yes,44.65,A,1,"Beloit, WI",US PL Madison Factory,package
Anointed Outreach Ministries - Food Distribution Center,,,no,44.64,C,1,"Darlington, SC",US PL McBee Factory,
84 Lumber Truss Manufacturing Plant,,,no,44.63,D,1,"Winter Haven, FL",US PL Zephyrhills Factory,
Acton Food Pantry - Food Distribution Center,,,no,44.61,C,1,"Acton, ME",US PL Hollis Factory,
Merrill's Marine Terminal,,,no,44.59,D,1,"Portland, ME",US PL Hollis Factory,
StorHouse-Nazareth Pike,,,no,44.59,D,1,"Bethlehem, PA",US DC NFI - Breinigsville,
Pregis Corp,pregis.com,54774328465,yes,44.59,D,1,"Queensbury, NY",US PL Saratoga Spring Factory,package
Specialty Design & Manufacturing Co Inc,,,no,44.58,C,1,"Reading, PA",US PL Allentown NPL Factory,
New Balance Shoe Manufacturing,newbalance.com,,no,44.58,D,1,"Norway, ME",US PL Poland Spring Factory,parent_facility:medium
Propak Logistics,propaksystems.com,54771882646,yes,44.5,C,1,"Johnstown, NY",US PL Saratoga Spring Factory,package
Gulf Central Distribution Center,,,no,44.5,C,1,"Tampa, FL",US PL Zephyrhills Factory,
BFS Services,,,no,44.49,D,1,"Carrollton, TX",US PL Dallas 2 Factory,
"InTek Logistics, Inc.",,,no,44.47,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
Family Dollar Distribution Center,familydollar.com,54734204991,yes,44.4,A,1,"Matthews, NC",US PL McBee Factory,package
Farmington Chipping Enterprise,,,no,44.39,D,1,"Farmington, ME",US PL Kingfield Factory,
Fisher Hill Community Baptist Church - Food Distribution Center,,,no,44.38,C,1,"Cheraw, SC",US PL McBee Factory,
Pacific Beach Peanut Butter,,,no,44.38,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
Leaning S Land and Cattle,,,no,44.3,C,1,"Van, TX",US PL Hawkins Factory,
Reyes Cocacola Bottling,,,no,44.25,C,1,"Downey, CA",US PL Ontario Factory,
Amazon DDX6,amazon.com,8981959027,yes,44.24,A,1,"Prosper, TX",US PL Dallas 2 Factory,package
A-WAREHOUSE FURNITURE,,,no,44.21,C,1,"Baytown, TX",US PL Pasadena Factory,
STS Packaging,,,no,44.2,D,2,"Mooresville, IN",US PL Greenwood Indiana,
Bunzl Maine,,,no,44.2,D,1,"Portland, ME",US PL Hollis Factory,
Stone Cold Solutions Inc,,,no,44.2,D,1,"Anaheim, CA",US PL Ontario Factory,
Lowe’s BDC #3368,,,no,44.19,D,1,"Commerce City, CO",US PL Denver Factory,
Pantera Logistics,,,no,44.18,C,1,"Murrieta, CA",US PL Cabazon Factory,
George R Roberts Co & The Step Guys,,,no,44.15,D,1,"Alfred, ME",US PL Hollis Factory,
RJW Logistics - D01,,,no,44.13,C,1,"Mesquite, TX",US PL Dallas 2 Factory,
Knight Transportation Truck Access,knight-swift.com,,no,44.13,C,1,"Katy, TX",US PL S Houston Factory,parent_facility:medium
CITGO South Portland Terminal,,,no,44.1,D,1,"South Portland, ME",US PL Hollis Factory,
FreeUp Storage Tyler Frankston Hwy,,,no,44.1,D,1,"Tyler, TX",US PL Hawkins Factory,
Turner Island LLC,,,no,44.1,D,1,"South Portland, ME",US PL Hollis Factory,
J & M Warehouse,,,no,44.06,C,1,"Florence, SC",US PL McBee Factory,
Premio Foods Warehouse,,,no,44.04,C,1,"Brooksville, FL",US PL Zephyrhills Factory,
Victory Baptist Church - Food Distribution Center,,,no,44.04,C,1,"Benton, AR",US DC Hot Springs (WHSE),
ChargeUP 34,,,no,44.04,A,1,"Winfield, TX",US PL Hawkins Factory,HOLD: likely noise / not a freight prospect - exclude
Owens Corning Warehouse,owenscorning.com,54771935779,yes,44.02,A,1,"Fort Smith, AR",US PL Hot Springs Factory,package
Mor Furniture for Less Warehouse,morfurniture.com,54774161677,yes,43.99,C,1,"Murrieta, CA",US PL Cabazon Factory,package
Mini-Maxi Warehouses,,,no,43.99,C,1,"Florence, SC",US PL McBee Factory,
True Warehouse,,,no,43.99,C,1,"Bryant, AR",US PL Hot Springs 2 Factory,
Soaring Eagle Warehouse,,,no,43.96,C,1,"Mt Pleasant, MI",US PL Mecosta Factory,
Exodus Logistix,,,no,43.9,D,1,"Roseville, CA",US PL Sacramento Factory,
FGF Brands Inc.,fgfbrands.com,54773560101,yes,43.88,C,1,"Brownsburg, IN",US PL Greenwood Indiana,package
Razor Logistics,,,no,43.8,C,1,"Murrieta, CA",US PL Cabazon Factory,
PTG Crossdocking Services,,,no,43.8,C,1,"Commerce, CA",US PL Ontario Factory,
UNFI Londonderry,unfi.com,54174684591,yes,43.79,A,1,"Londonderry, NH",US PL Hollis Factory,package
Sweet Logistics LLC,,,no,43.74,C,1,"Murrieta, CA",US PL Cabazon Factory,
Ashley Furniture HomeStore Warehouse,ashleyfurniture.com,,no,43.71,C,2,"Mesquite, TX",US PL Dallas 2 Factory,curated:
Van Mini-Warehouse & Storage,,,no,43.71,C,1,"Van, TX",US PL Hawkins Factory,
Katy Fulfillment Center,,,no,43.71,C,1,"Katy, TX",US PL S Houston Factory,
DTW1 Amazon Fulfillment Center,amazon.com,8981959027,yes,43.7,A,1,"Romulus, MI",US PL Mecosta Factory,package
Maple Lynn Logistics,,,no,43.69,C,1,"Gladewater, TX",US PL Hawkins Factory,
Mr G's Foods,,,no,43.63,C,1,"Brooksville, FL",US PL Zephyrhills Factory,
502 Logistics,,,no,43.62,C,1,"Murrieta, CA",US PL Cabazon Factory,
Venezia Bulk Transport Inc. Evansville Terminal,,,no,43.61,D,1,"Fleetwood, PA",US PL Allentown NPL Factory,
Santa Ana Packaging,,,no,43.59,D,1,"La Mirada, CA",US PL Ontario Factory,
Kohler Distribution Center,kohler.com,55554491650,yes,43.59,A,1,"Sheridan, AR",US DC Hot Springs (WHSE),package
East Texas Warehouse and Storage,,,no,43.55,C,1,"Kilgore, TX",US PL Hawkins Factory,
East Texas Business Park,,,no,43.55,C,1,"Kilgore, TX",US PL Hawkins Factory,
Outreach Family Fellowship - Food Distribution Center,,,no,43.55,C,1,"Florence, SC",US PL McBee Factory,
Third Party Logistics,symbia.com,,no,43.49,C,1,"Florence, SC",US PL McBee Factory,company_fuzzy:medium
Velocity Truck Centers,,,no,43.49,C,1,"Florence, SC",US PL McBee Factory,
U-Stor Mor Inc Storage Pearland,,,no,43.47,D,1,"Pearland, TX",US PL Pasadena Factory,
Farm Country Cheese House,,,no,43.47,C,1,"Lakeview, MI",US PL Mecosta Factory,
RWC Distribution Center - Dallas,,,no,43.47,C,1,"Mesquite, TX",US PL Dallas 2 Factory,
Darlington Snacks,,,no,43.47,C,1,"Indianapolis, IN",US PL Greenwood Indiana,
Florida Freezer,,,no,43.43,D,1,"Lakeland, FL",US PL Zephyrhills Factory,
Origin BJJ LLC,,,no,43.43,D,1,"Farmington, ME",US PL Kingfield Factory,
K C Logistics Co,kcwarehouse.com,,no,43.43,C,1,"Florence, SC",US PL McBee Factory,company_core:high
"Nino's Trading - Discount Appliances & TVs, Little Rock Warehouse",,,no,43.4,C,1,"Little Rock, AR",US PL Hot Springs 2 Factory,
CDS Cold,,,no,43.36,C,1,"Santa Fe Springs, CA",US PL Ontario Factory,
Georgia-Pacific Packaging,gp.com,9189642400,yes,43.34,A,1,"Denton, TX",US PL Dallas 2 Factory,package
Tex Tech Industries Inc.,,,no,43.33,D,3,"Portland, ME",US PL Hollis Factory,
CAT Scale,,,no,43.31,C,3,"Florence, SC",US PL McBee Factory,
HEB E-Commerce Fulfillment Center,,,no,43.3,C,1,"Katy, TX",US PL S Houston Factory,
Warehouse Wine & Liquor,,,no,43.3,C,1,"Spring Hill, FL",US PL Zephyrhills Factory,
Storage Max,,,no,43.24,D,1,"Tyler, TX",US PL Hawkins Factory,
Beverage Industries,,,no,43.22,C,1,"Cheraw, SC",US PL McBee Factory,
Trimble Farms,,,no,43.21,D,1,"Big Sandy, TX",US PL Hawkins Factory,
Personal Mini Storage,,,no,43.14,D,1,"Gainesville, FL",US PL High Springs Factory,
STORAGE CENTER,,,no,43.14,D,1,"Tyler, TX",US PL Hawkins Factory,
Samantha Springs,,,no,43.14,C,1,"Keller, TX",US PL Dallas 2 Factory,
Hicks Brothers,,,no,43.12,D,1,"Lindale, TX",US PL Hawkins Factory,
Third Place Processing,,,no,43.07,D,1,"Bechtelsville, PA",US PL Allentown NPL Factory,
Sunbelt Manufacturing Company.,,,no,43.05,C,1,"Gladewater, TX",US PL Hawkins Factory,
Walmart Sam's Club Distribution Center,samsclub.com,45064080036,yes,43.04,A,1,"Dayton, TX",US PL Pasadena Factory,package
All Star Super Storage,allstar-logistics.com,,no,43.03,D,2,"Hemet, CA",US PL Cabazon Factory,parent_facility:medium
Port of Tampa Container Terminal,,,no,42.99,D,1,"Tampa, FL",US PL Zephyrhills Factory,
"Orgill, Inc. Distribution Center",orgill.com,54720477482,yes,42.98,C,1,"Kilgore, TX",US PL Hawkins Factory,package
J & S Manufacturing Co Inc,,,no,42.97,D,1,"Bryant, AR",US PL Hot Springs 2 Factory,
Columbia Consolidated Warehouse,,,no,42.9,C,1,"Lake City, FL",US PL High Springs Factory,
Darlington Packing Co,,,no,42.9,C,1,"Darlington, SC",US PL McBee Factory,
Seaboard Tampa Terminals,,,no,42.86,D,1,"Tampa, FL",US PL Zephyrhills Factory,
West Farmington Grange Hall,,,no,42.86,D,1,"West Farmington, ME",US PL Kingfield Factory,
Roy's Wood Products Manufacturing Facility,,,no,42.83,D,1,"Lugoff, SC",US PL McBee Factory,
"P & B Cold Storage, Georgia",,,no,42.82,A,1,"Valdosta, GA",US PL High Springs Factory,
Mount Elon Food Ministry - Food Distribution Center,,,no,42.81,C,1,"Hartsville, SC",US PL McBee Factory,
Portland Cruise Terminal,,,no,42.77,D,1,"Portland, ME",US PL Hollis Factory,
General Cold Storage,,,no,42.71,C,1,"South Gate, CA",US PL Ontario Factory,
Carparts Distribution Center,,,no,42.71,C,2,"Fairfield, ME",US PL Kingfield Factory,
Packing House District,,,no,42.7,D,1,"Redlands, CA 92374, USA",US PL Ontario Factory,
Maine Plywood USA,,,no,42.69,D,1,"Bingham, ME 04920, USA",US PL Kingfield Factory,
Shaw's Wells Distribution Center,,,no,42.69,C,1,"Wells, ME",US PL Hollis Factory,
Exxon and Pilot,,,no,42.67,C,1,"Van, TX",US PL Hawkins Factory,
Quality Tire Warehouse,,,no,42.65,C,1,"Florence, SC",US PL McBee Factory,
Sysco Central Florida - Food Distributor & Restaurant Supplies,sysco.com,,no,42.65,A,1,"Ocoee, FL",US PL Zephyrhills Factory,curated:
Wayfair,wayfair.com,54725620593,yes,42.65,A,1,"Jacksonville, FL",US PL High Springs Factory,package
Kito Crosby - Longview Plant,,,no,42.64,D,1,"Longview, TX",US PL Hawkins Factory,
"NextGen Industrial Services, LLC",,,no,42.64,D,1,"Longview, TX",US PL Hawkins Factory,
Centerline Manufacturing,,,no,42.61,D,1,"Winnsboro, TX",US PL Hawkins Factory,
"Refrigerated Food Systems, Inc.",,,no,42.59,C,1,"Katy, TX",US PL S Houston Factory,
Amazon Sort Center CLT5,amazon.com,8981959027,yes,42.59,A,1,"Concord, NC",US PL McBee Factory,package
Specialty Box & Packaging Co,,,no,42.56,D,1,"Menands, NY",US PL Saratoga Spring Factory,
Stone Bridge Iron & Steel,,,no,42.54,D,1,"Gansevoort, NY",US PL Saratoga Spring Factory,
California Cold Storage,,,no,42.53,C,2,"Los Angeles, CA",US PL Ontario Factory,
GE Manufacturing Solutions,,,no,42.5,D,1,"Fort Worth, TX",US PL Dallas 2 Factory,
Logistic Services,biralogisticservices.com,,no,42.49,D,1,"Schenectady, NY",US PL Saratoga Spring Factory,company_fuzzy:medium
My Furniture Warehouse Alexander,,,no,42.47,C,1,"Bryant, AR",US PL Hot Springs 2 Factory,
The Outdoor Warehouse,,,no,42.47,C,1,"Murrieta, CA",US PL Cabazon Factory,
Coca Cola Distributor,coca-colacompany.com,,no,42.47,A,1,"Traverse City, MI",US PL Mecosta Factory,package
STEMCO,stemco.com,,no,42.44,D,1,"Longview, TX",US PL Hawkins Factory,company_exact:high
Rehrig Penn Logistics,,,no,42.43,C,1,"Gloversville, NY",US PL Saratoga Spring Factory,
Life Made warehouse,,,no,42.43,C,1,"Wilton, ME",US PL Kingfield Factory,
DHL Bow Distribution Center (Formerly EXEL),dhl.com,8974643893,yes,42.43,A,1,"Bow, NH",US PL Hollis Factory,package
Azleway Boys' Ranch - Food Distribution Center,,,no,42.37,C,1,"Tyler, TX",US PL Hawkins Factory,
EZ Safe Storage,,,no,42.31,D,1,"Schenectady, NY",US PL Saratoga Spring Factory,
Warehousing Etc,,,no,42.31,D,1,"Tampa, FL",US PL Zephyrhills Factory,
"Brentwood Industries, Inc.",,,no,42.31,D,2,"Reading, PA",US PL Allentown NPL Factory,
Bicycle Warehouse Temecula,,,no,42.3,C,1,"Temecula, CA",US PL Cabazon Factory,
AMAZON SNC2 VNC2 WAREHOUSE,amazon.com,8981959027,yes,42.3,A,1,"Huntersville, NC",US PL McBee Factory,package
Oasis Super Stop,,,no,42.29,C,1,"Lindale, TX",US PL Hawkins Factory,
.,,,no,42.25,D,1,"Mansfield, TX",US PL Dallas 2 Factory,
Upward Storage,,,no,42.25,D,1,"Bingham, ME",US PL Kingfield Factory,
Trans Network LLC,,,no,42.22,D,1,"Rocklin, CA",US PL Sacramento Factory,
Sunny Sky Products,,,no,42.22,D,1,"Houston, TX",US PL S Houston Factory,
NETC Warehouse,,,no,42.2,C,1,"Wells, ME",US PL Hollis Factory,
Opportunities Inc. Warehouse,,,no,42.2,C,2,"Fort Atkinson, WI",US PL Madison Factory,
"Challenge Manufacturing Northlake, TX",,,no,42.18,D,1,"Northlake, TX",US PL Dallas 2 Factory,
Fleet Yards Inc./DAMCO DISTRIBUTION INC,,,no,42.18,C,1,"South Gate, CA",US PL Ontario Factory,
Roar Logistics,roarlogistics.com,,no,42.18,C,1,"Murrieta, CA",US PL Cabazon Factory,company_exact:high
Pepsi Beverage of North America/Ocala FL,pepsico.com,,no,42.18,A,1,"Ocala, FL",US PL Zephyrhills Factory,curated:
Columbus Warehouse & Cartage,,,no,42.16,C,2,"Edinburgh, IN",US PL Greenwood Indiana,
Tt dunphy,,,no,42.14,D,1,"North Anson, ME",US PL Kingfield Factory,
T&T Storage,,,no,42.13,D,1,"Cohoes, NY",US PL Saratoga Spring Factory,
Plug Power,plugpower.com,54755808006,yes,42.13,D,1,"Latham, NY",US PL Saratoga Spring Factory,package
Florence Chapter Mnistries - Food Distribution Center,,,no,42.13,C,1,"Florence, SC",US PL McBee Factory,
CLT3 Amazon Truck entrance,amazon.com,8981959027,yes,42.12,A,1,"Concord, NC",US PL McBee Factory,package
SPRING BROOK FARM and MARKET,,,no,42.1,C,1,"Cumberland, ME",US PL Poland Spring Factory,
BWT/ Dixie Offsite Warehouse,,,no,42.07,C,1,"Florence, SC",US PL McBee Factory,
Hickory Springs Water Co Inc,,,no,42.07,C,1,"Florence, SC",US PL McBee Factory,
Progressive Produce Cold Storage,progressiveproduce.com,,no,42.04,C,1,"La Mirada, CA",US PL Ontario Factory,parent_facility:medium
Community Family Enrichment Center - Food Distribution Center,,,no,42.04,C,1,"Arkadelphia, AR",US DC Hot Springs (WHSE),
Allentown Refrigerated,,,no,42.02,D,1,"East Greenville, PA",US PL Allentown NPL Factory,
Upshur County Shares - Food Distribution Center,,,no,42,C,1,"Gilmer, TX",US PL Hawkins Factory,
At Home Distribution Center,athome.com,54751049235,yes,41.97,C,1,"Plano, TX",US PL Dallas 2 Factory,package
DairyChem,,,no,41.97,C,1,"Fishers, IN",US PL Greenwood Indiana,
Ice Cold Storage Inc,,,no,41.96,C,1,"Vernon, CA",US PL Ontario Factory,
TFG Little Rock,,,no,41.96,C,1,"Little Rock, AR",US PL Hot Springs 2 Factory,
U.S. Growers Cold Storage - Area 3,,,no,41.9,C,1,"Vernon, CA",US PL Ontario Factory,
Gap Distribution Center,,,no,41.89,C,1,"Longview, TX",US PL Hawkins Factory,
Divine Enterprises,,,no,41.86,D,1,"Rocklin, CA",US PL Sacramento Factory,
Ruiz Foods,ruizfoods.com,54734689091,yes,41.84,C,1,"Florence, SC",US PL McBee Factory,package
Lufkin Coca-Cola,coca-colacompany.com,,no,41.82,A,1,"Lufkin, TX",US PL Hawkins Factory,package
The Man Cave Warehouse,,,no,41.81,C,1,"Odessa, FL",US PL Zephyrhills Factory,
Painted Woods Wild Game Butcher and Meat Processing,,,no,41.81,C,1,"Rochester, NH",US PL Hollis Factory,
Arkadelphia First United Methodist Church - Food Distribution Center,,,no,41.81,C,1,"Arkadelphia, AR",US DC Hot Springs (WHSE),
Growers Cold Storage,,,no,41.79,C,3,"Vernon, CA",US PL Ontario Factory,
Victory Logistics - Cold Storage & 3PL Fulfillment Services,,,no,41.79,C,1,"Temecula, CA",US PL Cabazon Factory,
Lois G. McArn Food Bank- Food Distribution Center,,,no,41.74,C,1,"Cheraw, SC",US PL McBee Factory,
Warehouse Furniture Showroom,,,no,41.74,C,1,"Arkadelphia, AR",US DC Hot Springs (WHSE),
"Mineola Packing Company, Inc.",,,no,41.73,C,1,"Mineola, TX",US PL Hawkins Factory,
E-Town Cold Storage,,,no,41.71,C,1,"Edgerton, WI",US PL Madison Factory,
Cross Dock Building Warehouse,,,no,41.71,C,1,"Houston, TX",US PL S Houston Factory,
Easy Street Distribution Center,,,no,41.66,C,1,"Somersworth, NH",US PL Hollis Factory,
Clark County Ecumerical Food Pantry - Food Distribution Center,,,no,41.66,C,1,"Arkadelphia, AR",US DC Hot Springs (WHSE),
