company_or_facility,facility_city_state,segment,icp_tier,icp_score,distance_mi,nearest_live_site,corridor
"Next Carriers","Greenwood, IN","shipper","A",85,2.6,"Greenwood, IN","Indianapolis, IN"
"BASF Corporation","Houston, TX","shipper","A",80,1.6,"Houston, TX","Houston, TX"
"Owens & Minor - Allentown Distribution Center","Allentown, PA","shipper","A",95,2.8,"Breinigsville, PA","Allentown, PA"
"Chewy Fulfillment Center DFW1","Dallas, TX","3pl","A",85,0.5,"Dallas, TX","Dallas, TX"
"Staples Fulfillment Center","Ontario, CA","3pl","A",90,1.8,"Ontario, CA","Ontario, CA"
"Greenfield Manufacturing Inc.","Saratoga Springs, NY","shipper","A",83,2.6,"Saratoga Springs, NY","Saratoga Springs, NY"
"LPM manufacturing","Ontario, CA","shipper","A",90,1.9,"Ontario, CA","Ontario, CA"
"King Soopers/Kroger Tejon Street Distribution Center","Denver, CO","shipper","A",90,2.0,"Denver, CO","Denver, CO"
"Panera Bread Warehouse","Ontario, CA","shipper","A",90,2.0,"Ontario, CA","Ontario, CA"
"Ball Metal Beverage Container","Saratoga Springs, NY","shipper","A",80,2.1,"Saratoga Springs, NY","Saratoga Springs, NY"
"Dupont Industrial Center","Ontario, CA","shipper","A",80,2.1,"Ontario, CA","Ontario, CA"
"Earnest Machine","Greenwood, IN","shipper","A",85,3.3,"Greenwood, IN","Indianapolis, IN"
"Tractor Supply Co.","High Springs, FL","shipper","A",80,1.1,"High Springs, FL","Jacksonville, FL"
"Uline Shipping Supplies - X1","Alburtis, PA","shipper","A",77,1.6,"Breinigsville, PA","Allentown, PA"
"Danone North America","Dallas, TX","shipper","A",82,1.7,"Dallas, TX","Dallas, TX"
"Best Buy Warehouse Ontario","Ontario, CA","shipper","A",90,2.7,"Ontario, CA","Ontario, CA"
"Amcor Rigid Plastics","Allentown, PA","shipper","A",80,2.7,"Breinigsville, PA","Allentown, PA"
"Schneider cross dock","Rancho Cucamonga, CA","carrier","A",97,4.5,"Ontario, CA","Ontario, CA"
"Wakefern Foods","Breinigsville, PA","shipper","A",85,1.8,"Breinigsville, PA","Allentown, PA"
"Kimberly Clark","Ontario, CA","shipper","A",90,3.4,"Ontario, CA","Ontario, CA"
"WestRock - Corrugated Container","Ontario, CA","shipper","A",80,3.6,"Ontario, CA","Ontario, CA"
"Exchange Logistics","Dallas, TX","3pl","A",93,4.6,"Dallas, TX","Dallas, TX"
"Holiday Homes Transporting Llc","Ballston Spa, NY","shipper","A",93,4.7,"Saratoga Springs, NY","Saratoga Springs, NY"
"Airport Costco Depot","Ontario, CA","shipper","A",90,4.0,"Ontario, CA","Ontario, CA"
"AutoZone Distribution Center","Ontario, CA","shipper","A",85,2.8,"Ontario, CA","Ontario, CA"
"DSV Silutions Shell warehouse Panalpina","Pasadena, TX","3pl","A",98,6.8,"Pasadena, TX","Houston, TX"
"Ocean Spray","Breinigsville, PA","shipper","A",73,2.5,"Breinigsville, PA","Allentown, PA"
"Infinix 12","Hawkins, TX 75765, USA","shipper","A",86,1.5,"Hawkins, TX","Tyler, TX"
"Smurfit Westrock Denver Container Plant","Denver, CO","shipper","A",80,4.6,"Denver, CO","Denver, CO"
"Twin Leaf Farms","Greenfield Center, NY","shipper","A",86,5.5,"Saratoga Springs, NY","Saratoga Springs, NY"
"Shorr Packaging Corp","Ontario, CA","shipper","A",82,4.0,"Ontario, CA","Ontario, CA"
"UTZ Quality Foods Inc","Allentown, PA","shipper","A",78,3.1,"Breinigsville, PA","Allentown, PA"
"Stearns Packaging Corporation","Madison, WI","shipper","A",77,4.1,"Madison, WI","Madison, WI"
"Superior Carriers Inc","Pasadena, TX","shipper","A",93,6.8,"Pasadena, TX","Houston, TX"
"Baxter Brewing Co.","Lewiston, ME","shipper","A",88,6.9,"Poland Spring, ME","Auburn, ME"
"Kwik Trip Distribution Center-DeForest","Windsor, WI","shipper","A",98,9.2,"Madison, WI","Madison, WI"
"MHC Kenworth - Denver","Denver, CO","shipper","A",78,5.1,"Denver, CO","Denver, CO"
"T553 Target Distribution Center","Fontana, CA","shipper","A",93,8.3,"Ontario, CA","Ontario, CA"
"Landmark Express","Grand Prairie, TX","shipper","A",88,8.3,"Dallas, TX","Dallas, TX"
"Greenfields Greatest Food Co Home of Sundaes Best Hot Fudge Sauce","Gansevoort, NY","shipper","A",86,7.8,"Saratoga Springs, NY","Saratoga Springs, NY"
"Onvo","Kutztown, PA","shipper","A",76,5.1,"Breinigsville, PA","Allentown, PA"
"Walgreens Micro Fulfillment Center","Allentown, PA","3pl","A",73,5.9,"Breinigsville, PA","Allentown, PA"
"PPG Industries Inc","Grand Prairie, TX","shipper","A",88,8.7,"Dallas, TX","Dallas, TX"
"MSI Express, Inc.","Grand Prairie, TX","shipper","A",83,8.9,"Dallas, TX","Dallas, TX"
"Advance Auto Parts Distribution Center Kutztown","Kutztown, PA","shipper","A",81,5.6,"Breinigsville, PA","Allentown, PA"
"CORNERSTONE ORGANIC FEED LLC","Kutztown, PA","shipper","A",71,5.7,"Breinigsville, PA","Allentown, PA"
"O'Reilly Auto Parts Distribution Center","Houston, TX","shipper","A",78,7.8,"Houston, TX","Houston, TX"
"Three Story Coca Cola Cup","Sacramento, CA","shipper","A",85,11.2,"Sacramento, CA","Sacramento, CA"
"ContiTech USA, Inc Warehouse","Sun Prairie, WI","shipper","A",91,9.3,"Madison, WI","Madison, WI"
"The Storage Guy, LLC - Schneider Storage","Middleton, WI","carrier","A",92,10.6,"Madison, WI","Madison, WI"
"ICDC(check in at Pepsi Warehouse Guard)","Indianapolis, IN","shipper","A",85,12.3,"Greenwood, IN","Indianapolis, IN"
"US Foods - Allentown Distribution Center","Allentown, PA","shipper","A",90,12.4,"Breinigsville, PA","Allentown, PA"
"Rios Packaging Corporation, LLC","Dallas, TX","shipper","A",75,8.6,"Dallas, TX","Dallas, TX"
"Bison Transport USA","Kutztown, PA","carrier","A",81,7.5,"Breinigsville, PA","Allentown, PA"
"Williams-Sonoma Distribution Center","Arlington, TX","shipper","A",70,7.6,"Dallas, TX","Dallas, TX"
"Medline Industries Distribution Center","Aurora, CO","shipper","A",90,13.2,"Denver, CO","Denver, CO"
"Neway Packaging Corporation","Commerce City, CO","shipper","A",80,9.1,"Denver, CO","Denver, CO"
