Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
1662,KIK Custom Products,66.45,66.45,D,1,94,0,5,2,US PL S Houston Factory,"Houston, TX",shipper,low
1663,Sacramento Spring Inc.,66.45,66.45,D,1,94,0,5,2,US PL Sacramento Factory,"Sacramento, CA",shipper,low
1664,Zephyrhills Mover's,66.45,66.45,D,1,94,0,5,2,US PL Zephyrhills Factory,"Zephyrhills, FL",shipper,low
1665,Flint Hills Resources,66.45,66.45,D,1,94,0,5,2,US PL Madison Factory,"McFarland, WI",shipper,low
1666,Venture Logistics Rail Warehouse,66.43,66.43,C,1,75,33.3,5,8.5,US PL Greenwood Indiana,"Indianapolis, IN",3pl,medium
1667,ACME Distribution,66.43,49.18,C,2,75,33.3,5,8.5,US PL Denver Factory,"Denver, CO",shipper,medium
1668,Gefran Cargo CrossDock & Warehouse,66.43,66.43,C,1,75,33.3,5,8.5,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1669,Doka Distribution Center North America Ltd.,66.43,66.43,C,1,75,33.3,5,8.5,US PL S Houston Factory,"Houston, TX",shipper,medium
1670,Pasadena Liquor Warehouse,66.43,66.43,C,1,75,33.3,5,8.5,US PL Pasadena Factory,"Pasadena, TX",shipper,medium
1671,Dish Distribution Center,66.43,66.43,C,1,75,33.3,5,8.5,US PL Denver Factory,"Denver, CO",shipper,medium
1672,Extra Transportation & Logistics Inc.,66.43,66.43,C,1,75,33.3,5,8.5,US PL Greenwood Indiana,"Indianapolis, IN",3pl,medium
1673,Lemberg Logistics Inc,66.43,66.43,C,1,75,33.3,5,8.5,US PL Sacramento Factory,"Sacramento, CA",3pl,medium
1674,"Organic Food Manufacturing, LLC",66.43,66.43,C,1,75,33.3,5,8.5,US PL Dallas 2 Factory,"Grand Prairie, TX 75050, USA",shipper,medium
1675,"Rocky Mountain Foods, Inc.",66.43,66.43,C,1,75,33.3,5,8.5,US PL Denver Factory,"Denver, CO",shipper,low
1676,Thermal Solutions Manufacturing,66.41,66.41,C,1,79,26.7,5,7.1,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
1677,Miller Trucking,66.41,66.41,C,1,79,26.7,5,7.1,US PL Hollis Factory,"Buxton, ME",carrier,low
1678,"Metalworking Chemicals & Equipment Co., Inc.",66.41,66.41,C,1,79,26.7,5,7.1,US PL Saratoga Spring Factory,"Malta, NY",shipper,low
1679,Pipeline Packaging - Dallas,66.33,66.33,C,1,82,20,5,5.8,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,low
1680,"SCHÜTZ Container Systems, Inc.",66.33,66.33,D,1,82,20,5,5.8,US PL Pasadena Factory,"Pasadena, TX",shipper,low
1681,Lehigh Valley Logistics,66.29,66.29,C,1,75,33.3,5,8.6,US DC NFI - Breinigsville,"Allentown, PA",3pl,medium
1682,JTS WAREHOUSE MANAGEMENT CROSS-DOCK,66.29,66.29,C,1,75,33.3,5,8.6,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1683,"Asap logistics Inc - Warehouse, Storage, Distribution and Cross Dock",66.29,66.29,C,1,75,33.3,5,8.6,US PL Greenwood Indiana,"Indianapolis, IN",3pl,medium
1684,R+L Global Logistics,66.29,54.26,C,3,75,33.3,5,8.6,US PL Denver Factory,"Aurora, CO",3pl,medium
1685,Service Steel Warehouse,66.29,66.29,C,1,75,33.3,5,8.6,US PL S Houston Factory,"Houston, TX",shipper,medium
1686,Warehouse Lounge And Event Center,66.29,66.29,C,1,75,33.3,5,8.6,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
1687,"S H Logistics, LLC",66.29,66.29,C,1,75,33.3,5,8.6,US PL Denver Factory,"Aurora, CO",3pl,medium
1688,First Food Co,66.29,66.29,C,1,75,33.3,5,8.6,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1689,Babco Foods International,66.29,66.29,C,1,75,33.3,5,8.6,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1690,La Torre Foods USA,66.29,66.29,C,1,75,33.3,5,8.6,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,low
1691,Stratas Foods LLC,66.29,66.29,C,1,75,33.3,5,8.6,US PL S Houston Factory,"Houston, TX",shipper,low
1692,Golden State Fire,66.28,66.28,D,1,93,0,5,2.1,US PL Sacramento Factory,"Sacramento, CA",shipper,low
1693,Madison Metropolitan Sewerage District,66.28,66.28,D,1,93,0,5,2.1,US PL Madison Factory,"Madison, WI",shipper,low
1694,Kunafa Factory,66.27,66.27,C,1,73,37.3,5,9.5,US PL Dallas 2 Factory,"Arlington, TX",shipper,low
1695,Chi Manufacturing,66.26,66.26,C,1,79,26.7,5,7.2,US PL Denver Factory,"Englewood, CO",shipper,medium
1696,Metal Manufacturing Company,66.26,66.26,C,1,79,26.7,5,7.2,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
1697,84 Lumber Manufacturing Plant,66.26,39.41,C,3,79,26.7,5,7.2,US PL Greenwood Indiana,"Franklin, IN",shipper,medium
1698,ePac Flexible Packaging,66.18,56.04,D,2,82,20,5,5.9,US PL Ontario Factory,"Chino, CA",shipper,low
1699,In-N-Out Burger Distribution Center,66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Lancaster, TX",shipper,medium
1700,Brakebush Grand Prairie Cold Storage,66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1701,Houston Commodity Warehouse,66.15,66.15,C,1,75,33.3,5,8.7,US PL S Houston Factory,"Houston, TX",shipper,medium
1702,DART Irving Warehouse,66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Irving, TX",shipper,medium
1703,Global Logistics,66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Arlington, TX",3pl,medium
1704,Warehouse Equipment Solutions,66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1705,Racetrac DFW Distribution Center,66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1706,Glen Wills Distribution,66.15,66.15,C,1,75,33.3,5,8.7,US PL Sacramento Factory,"Carmichael, CA",shipper,medium
1707,Mi Rancho,66.15,66.15,C,1,75,33.3,5,8.7,US PL Sacramento Factory,"Elk Grove, CA",shipper,low
1708,"Pack'n Fresh, LLC.",66.15,66.15,C,1,75,33.3,5,8.7,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,low
1709,J B Smith Manufacturing Co,66.12,66.12,C,1,78,26.7,5,7.3,US PL S Houston Factory,"Houston, TX",shipper,medium
1710,Nomad Trucking,66.12,66.12,C,1,78,26.7,5,7.3,US PL Hollis Factory,"Buxton, ME",carrier,low
1711,On Time Cross Docking,66.11,66.11,D,1,93,0,5,2.2,US PL Ontario Factory,"Ontario, CA",shipper,low
1712,Prime Cross Dock,66.11,66.11,D,1,93,0,5,2.2,US PL Ontario Factory,"Ontario, CA",shipper,low
1713,South Houston HEB eFC,66.11,66.11,D,1,93,0,5,2.2,US PL S Houston Factory,"Houston, TX",shipper,low
1714,270 West Mini Storage,66.11,66.11,D,1,93,0,5,2.2,US DC Hot Springs (WHSE),"Hot Springs, AR",shipper,low
1715,NS Reading Line - Mertztown Train Station,66.11,66.11,D,1,93,0,5,2.2,US PL Allentown NPL Factory,"Mertztown, PA",shipper,low
1716,Neu Logistics Services,66.02,66.02,C,1,75,33.3,5,8.8,US DC NFI - Breinigsville,"Allentown, PA",3pl,medium
1717,Am-C Warehouses Inc,66.02,66.02,C,1,75,33.3,5,8.8,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1718,WDS Logistics - DFW,66.02,52.16,C,2,75,33.3,5,8.8,US PL Dallas 2 Factory,"Grand Prairie, TX",3pl,medium
1719,Bud's Warehouse,66.02,66.02,C,1,75,33.3,5,8.8,US PL Denver Factory,"Aurora, CO",shipper,medium
1720,Champion Logistics Group,66.02,66.02,C,1,75,33.3,5,8.8,US PL Dallas 2 Factory,"Grand Prairie, TX",3pl,medium
1721,Sacramento Distribution Services,66.02,66.02,C,1,75,33.3,5,8.8,US PL Sacramento Factory,"North Highlands, CA",3pl,medium
1722,Custom Care Logistics,66.02,66.02,C,1,75,33.3,5,8.8,US PL Sacramento Factory,"McClellan Park, CA",3pl,medium
1723,Fruitful Earth Farms,66.02,66.02,C,1,75,33.3,5,8.8,US PL High Springs Factory,"Lake City, FL",shipper,low
1724,Colorado Quality Foods,66.02,66.02,C,1,75,33.3,5,8.8,US PL Denver Factory,"Denver, CO",shipper,low
1725,Amy Food Inc,66.02,66.02,C,1,75,33.3,5,8.8,US PL S Houston Factory,"Houston, TX",shipper,low
1726,Vesana Logistics LLC,66.01,66.01,A,1,61,77.3,3,14.6,US PL Zephyrhills Factory,"Lutz, FL",3pl,high
1727,Gulf Coast Supply & Manufacturing,65.98,59.03,C,2,78,26.7,5,7.4,US PL High Springs Factory,"Alachua, FL",shipper,medium
1728,Curtis Industrial Park,65.98,65.98,C,1,78,26.7,5,7.4,US PL Saratoga Spring Factory,"Ballston Spa, NY",shipper,low
1729,Tupinix Smart Factory Solutions,65.98,65.98,C,1,78,26.7,5,7.4,US DC NFI - Breinigsville,"Allentown, PA",shipper,low
1730,B Braun Medical Inc.,65.94,65.94,D,1,93,0,5,2.3,US DC NFI - Breinigsville,"Breinigsville, PA",shipper,low
1731,Gotta Go Transport,65.94,65.94,D,1,93,0,5,2.3,US PL High Springs Factory,"High Springs, FL",carrier,low
1732,Colorado Cold Warehousing & Storage,65.94,65.94,D,1,93,0,5,2.3,US PL Denver Factory,"Denver, CO",3pl,low
1733,"Kuraray America, Inc.",65.94,65.94,D,1,93,0,5,2.3,US PL Pasadena Factory,"Houston, TX",shipper,low
1734,"Universal Chain, Inc Corporate HQ",65.94,65.94,D,1,93,0,5,2.3,US PL Denver Factory,"Denver, CO",shipper,low
1735,The Boeing Company,65.94,65.94,D,1,93,0,5,2.3,US PL Pasadena Factory,"Houston, TX",shipper,low
1736,Americold Logistics Meacham Ft Worth,65.94,65.94,A,1,43,90.7,5,25.2,US PL Dallas 2 Factory,"Fort Worth, TX",3pl,high
1737,Spartan Logistics,65.88,37.01,C,3,74,33.3,5,8.9,US PL S Houston Factory,"Houston, TX",3pl,medium
1738,24 Hour Crossdock and Cold Storage,65.88,65.88,C,1,74,33.3,5,8.9,US PL Sacramento Factory,"North Highlands, CA",shipper,medium
1739,Asia Logistics Inc,65.88,65.88,C,1,74,33.3,5,8.9,US PL S Houston Factory,"Missouri City, TX",3pl,medium
1740,Storagent - Storage and Fulfillment center,65.88,65.88,C,1,74,33.3,5,8.9,US PL Sacramento Factory,"Rancho Cordova, CA",3pl,medium
1741,Shores of Hope - Food Distribution Center,65.88,65.88,C,1,74,33.3,5,8.9,US PL Sacramento Factory,"West Sacramento, CA",shipper,medium
1742,PSI Global Logistics,65.88,65.88,C,1,74,33.3,5,8.9,US PL S Houston Factory,"Houston, TX",3pl,medium
1743,Onway Logistics,65.88,65.88,C,1,74,33.3,5,8.9,US PL Sacramento Factory,"Carmichael, CA",3pl,medium
1744,Tigerhawk Logistics,65.88,65.88,C,1,74,33.3,5,8.9,US PL Pasadena Factory,"Pasadena, TX",3pl,medium
1745,Milan Logistics,65.88,65.88,C,1,74,33.3,5,8.9,US PL Dallas 2 Factory,"Grand Prairie, TX",3pl,medium
1746,Jiddo Foods,65.88,65.88,C,1,74,33.3,5,8.9,US PL S Houston Factory,"Houston, TX",shipper,low
1747,AJJ Transloading,65.88,65.88,C,1,74,33.3,5,8.9,US PL Ontario Factory,"Fontana, CA",shipper,low
1748,USA MedPro Manufacturing Facility,65.83,65.83,C,1,78,26.7,5,7.5,US PL S Houston Factory,"Houston, TX",shipper,medium
1749,Alchemy Industrial,65.83,65.83,C,1,78,26.7,5,7.5,US PL S Houston Factory,"Houston, TX",shipper,low
1750,CRST Ontario Terminal,65.77,65.77,D,1,92,0,5,2.4,US PL Ontario Factory,"Ontario, CA",shipper,medium
1751,FreeUp Storage Madison,65.77,65.77,D,1,92,0,5,2.4,US PL Madison Factory,"Madison, WI",shipper,low
1752,Rosemont Wine & Liquor,65.77,65.77,D,1,92,0,5,2.4,US PL Sacramento Factory,"Sacramento, CA",shipper,low
1753,Bassett Mechanical,65.77,65.77,D,1,92,0,5,2.4,US PL Madison Factory,"McFarland, WI",shipper,low
1754,"Ecko Ice Products, LLC",65.77,65.77,D,1,92,0,5,2.4,US PL Ontario Factory,"Ontario, CA",shipper,low
1755,"Inpak Systems, Inc",65.77,65.77,D,1,92,0,5,2.4,US PL Madison Factory,"Madison, WI",shipper,low
1756,American Warehouses,65.75,65.75,C,1,74,33.3,5,9,US PL S Houston Factory,"Houston, TX",shipper,medium
1757,Cross Dock Warehouse Solutions !,65.75,65.75,C,1,74,33.3,5,9,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
1758,Best Pak Warehouse,65.75,65.75,C,1,74,33.3,5,9,US PL S Houston Factory,"Houston, TX",shipper,medium
1759,DDC-Dependable Distribution Center,65.75,65.75,C,1,74,33.3,5,9,US PL Sacramento Factory,"West Sacramento, CA",shipper,medium
1760,Sam's Warehouse Liquors,65.75,65.75,C,1,74,33.3,5,9,US PL Denver Factory,"Federal Heights, CO",shipper,medium
1761,"S7 warehouse,LA",65.75,65.75,C,1,74,33.3,5,9,US PL Ontario Factory,"Pomona, CA",shipper,medium
1762,Axion Logistics LLC.,65.75,65.75,C,1,74,33.3,5,9,US PL Pasadena Factory,"Pasadena, TX",3pl,medium
1763,Mockingbird Distribution Center,65.75,65.75,C,1,74,33.3,5,9,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
1764,Kingsgate Logistics LLC,65.75,65.75,C,1,74,33.3,5,9,US PL Denver Factory,"Aurora, CO",3pl,medium
1765,Station Distribution Llc,65.75,65.75,C,1,74,33.3,5,9,US PL Madison Factory,"Madison, WI",shipper,medium
1766,National Food & Beverage,65.75,65.75,C,1,74,33.3,5,9,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1767,Mesquite Tortilla Factory,65.75,65.75,C,1,74,33.3,5,9,US PL S Houston Factory,"South Houston, TX",shipper,low
1768,The Flavor Factory,65.75,65.75,C,1,74,33.3,5,9,US PL Ontario Factory,"Norco, CA",shipper,low
1769,"Flavorpros, LLC dba Richards and Danielson",65.75,65.75,C,1,74,33.3,5,9,US DC NFI - Breinigsville,"Allentown, PA",shipper,low
1770,Sugar Lab of Colorado,65.75,65.75,C,1,74,33.3,5,9,US PL Denver Factory,"Federal Heights, CO",shipper,low
1771,Atlantic Packaging,65.73,65.73,D,1,81,20,5,6.2,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1772,Harcros Chemicals Inc,65.73,65.73,D,1,81,20,5,6.2,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1773,Dallas Specialty & Manufacturing Co.,65.69,65.69,C,1,78,26.7,5,7.6,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1774,Bayport Container Terminal Truck check-in,65.69,65.69,C,1,78,26.7,5,7.6,US PL Pasadena Factory,"Pasadena, TX",shipper,medium
1775,US Cold Storage,65.61,45.43,C,4,74,33.3,5,9.1,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
1776,Mundo Nuevo USA Logistics Dallas,65.61,65.61,C,1,74,33.3,5,9.1,US PL Dallas 2 Factory,"Grand Prairie, TX",3pl,medium
1777,Timco Logistics- Houston Texas Terminal,65.61,65.61,C,1,74,33.3,5,9.1,US PL Pasadena Factory,"Pasadena, TX",3pl,medium
1778,Adams Warehouse and Delivery,65.61,64.13,C,4,74,33.3,5,9.1,US PL S Houston Factory,"Houston, TX",shipper,medium
1779,The Liquidation Warehouse,65.61,65.61,C,1,74,33.3,5,9.1,US PL S Houston Factory,"South Houston, TX",shipper,medium
1780,Apium Logistics LLC,65.61,65.61,C,1,74,33.3,5,9.1,US PL Sacramento Factory,"Sacramento, CA",3pl,medium
1781,By George Food Specialties,65.61,65.61,C,1,74,33.3,5,9.1,US PL Saratoga Spring Factory,"Ballston Spa, NY",shipper,low
1782,The SOLA Company,65.61,65.61,C,1,74,33.3,5,9.1,US PL S Houston Factory,"Houston, TX",shipper,low
1783,EVO Transportation - Madison Terminal,65.6,65.6,D,1,92,0,5,2.5,US PL Madison Factory,"Madison, WI",shipper,medium
1784,Biagi Bros Inc,65.6,65.6,D,1,92,0,5,2.5,US PL Ontario Factory,"Ontario, CA",shipper,low
1785,CargoX Transport Inc,65.6,65.6,D,1,92,0,5,2.5,US PL Sacramento Factory,"Sacramento, CA",carrier,low
1786,Baaz Cross Dock & Warehousing,65.6,65.6,D,1,92,0,5,2.5,US PL Greenwood Indiana,"Greenwood, IN",3pl,low
1787,Ellwood Texas Forge Houston,65.6,65.6,D,1,92,0,5,2.5,US PL S Houston Factory,"Houston, TX",shipper,low
1788,"BST North America, Inc.",65.6,65.6,D,1,92,0,5,2.5,US PL Madison Factory,"Madison, WI",shipper,low
1789,Sanbor Medical Corporation,65.6,65.6,D,1,92,0,5,2.5,US DC NFI - Breinigsville,"Allentown, PA",shipper,low
1790,Danny Herman Trucking Inc,65.55,65.55,C,1,77,26.7,5,7.7,US PL Ontario Factory,"Fontana, CA",carrier,low
1791,Wilton Truck Center,65.55,65.55,C,1,77,26.7,5,7.7,US PL Saratoga Spring Factory,"Gansevoort, NY",shipper,low
1792,Pilot Dealer,65.52,44.63,C,7,69,41.3,5,11,US PL Sacramento Factory,"Sacramento, CA",shipper,low
1793,Redner’s Warehouse Markets,65.48,51.8,C,4,71,37.3,5,10.1,US DC NFI - Breinigsville,"Whitehall Township, PA",shipper,medium
1794,MillerCoors Golden Distribution Center,65.48,65.48,C,1,71,37.3,5,10.1,US PL Denver Factory,"Golden, CO",shipper,medium
1795,GFS Logistics,65.47,65.47,C,1,74,33.3,5,9.2,US PL Dallas 2 Factory,"Lancaster, TX",3pl,medium
1796,Odyssey Grand Worldwide Logistics Corp,65.47,65.47,C,1,74,33.3,5,9.2,US PL Denver Factory,"Aurora, CO",3pl,medium
1797,Grand Prairie Distribution Center,65.47,65.47,C,1,74,33.3,5,9.2,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,medium
1798,L’OBJET Texas - Distribution Center,65.47,65.47,C,1,74,33.3,5,9.2,US PL Dallas 2 Factory,"Irving, TX",shipper,medium
1799,Dallas Food for Good Warehouse,65.47,65.47,C,1,74,33.3,5,9.2,US PL Dallas 2 Factory,"Dallas, TX",shipper,medium
1800,Elk Grove Chevrolet Warehouse,65.47,65.47,C,1,74,33.3,5,9.2,US PL Sacramento Factory,"Elk Grove, CA",shipper,medium
1801,California League-Food Processing,65.47,65.47,C,1,74,33.3,5,9.2,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
1802,Trü Pickles,65.47,65.47,C,1,74,33.3,5,9.2,US PL Denver Factory,"Littleton, CO",shipper,low
1803,Mid Maine CPL,65.47,65.47,C,1,74,33.3,5,9.2,US PL Poland Spring Factory,"Lewiston, ME",shipper,low
1804,Superior Foods Division,65.47,65.47,C,1,74,33.3,5,9.2,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1805,American Freight Service,65.47,65.47,C,1,74,33.3,5,9.2,US PL Greenwood Indiana,"Franklin, IN",shipper,low
1806,24 Hour Crossdock and Storage,65.47,65.47,C,1,74,33.3,5,9.2,US PL Sacramento Factory,"West Sacramento, CA",shipper,low
1807,Mr Bult's Inc,65.43,65.43,D,1,92,0,5,2.6,US PL Poland Spring Factory,"Auburn, ME",shipper,low
1808,OnTrac Madison,65.43,65.43,D,1,92,0,5,2.6,US PL Madison Factory,"Madison, WI",parcel,low
1809,AgroChem USA,65.43,65.43,D,1,92,0,5,2.6,US PL Saratoga Spring Factory,"Saratoga Springs, NY",shipper,low
1810,GE Healthcare,65.43,41.23,C,2,92,0,5,2.6,US PL Madison Factory,"Madison, WI",shipper,low
1811,Alfa Laval,65.43,65.43,D,1,92,0,5,2.6,US PL Greenwood Indiana,"Greenwood, IN",shipper,low
1812,"VantagePoint Industries, LLC.",65.43,65.43,D,1,92,0,5,2.6,US PL Ontario Factory,"Ontario, CA",shipper,low
1813,"Celco Manufacturing, Inc.",65.41,65.41,C,1,77,26.7,5,7.8,US PL Ontario Factory,"Pomona, CA",shipper,medium
1814,JRC Food Trailer Manufacturing LLC,65.4,65.4,C,1,84,33.3,3,5.1,US PL Cabazon Factory,"Banning, CA",shipper,medium
1815,United Freeway Transportation,65.4,65.4,D,1,84,13.3,5,5.1,US DC NFI - Breinigsville,"Allentown, PA",shipper,low
1816,Schumacher Cargo Logistics,65.34,65.34,C,1,73,33.3,5,9.3,US PL S Houston Factory,"Houston, TX",3pl,medium
1817,Outdoor Herbivore,65.34,65.34,C,1,73,33.3,5,9.3,US PL Sacramento Factory,"Sacramento, CA",shipper,low
1818,"Cain Food industries, Inc.",65.34,65.34,C,1,73,33.3,5,9.3,US PL Dallas 2 Factory,"Dallas, TX",shipper,low
1819,Adam's Sausage Factory,65.34,65.34,C,1,73,33.3,5,9.3,US PL Sacramento Factory,"Rancho Cordova, CA",shipper,low
1820,Bayport Container Terminal,65.32,65.32,C,1,78,24,5,7.3,US PL Pasadena Factory,"Seabrook, TX",shipper,medium
1821,S & K Trucking Inc,65.3,65.3,C,1,88,26.7,3,3.9,US PL Hollis Factory,"Hollis, ME",carrier,low
1822,Komplete Packaging Service,65.29,65.29,C,1,81,20,5,6.5,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,low
1823,AikPak Plastics - Blisters and Clamshell Packaging,65.29,65.29,C,1,81,20,5,6.5,US PL Dallas 2 Factory,"Grand Prairie, TX",shipper,low
1824,"TA Services, Inc.",65.27,65.27,D,1,91,0,5,2.7,US PL Greenwood Indiana,"Greenwood, IN",shipper,low
1825,"Peak Refrigeration, Inc.",65.27,65.27,D,1,91,0,5,2.7,US PL Denver Factory,"Denver, CO",shipper,low
1826,idX Corporation - Los Angeles,65.27,65.27,D,1,91,0,5,2.7,US PL Ontario Factory,"Ontario, CA",shipper,low
1827,Santa Fe Distributing Inc,65.27,65.27,D,1,91,0,5,2.7,US PL Denver Factory,"Denver, CO",shipper,low
1828,F-D-S Manufacturing Co,65.27,65.27,C,1,77,26.7,5,7.9,US PL Ontario Factory,"Pomona, CA",shipper,medium
1829,Lakeside International Trucks,65.27,65.27,C,1,77,26.7,5,7.9,US PL Madison Factory,"Madison, WI",shipper,low
1830,"Metrix Logistics Group, LLC",65.21,65.21,C,1,73,33.3,5,9.4,US PL S Houston Factory,"Houston, TX",3pl,medium
1831,Accurate Fulfillment - 3PL Ecommerce Fulfillment,65.21,65.21,C,1,73,33.3,5,9.4,US PL S Houston Factory,"Houston, TX",3pl,medium
1832,Advanced Logistics & Distribution Center Sacramento,65.21,65.21,C,1,73,33.3,5,9.4,US PL Sacramento Factory,"McClellan Park, CA",3pl,medium
1833,Tire's Warehouse,65.21,65.21,C,1,73,33.3,5,9.4,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
1834,Sierra Logistics Solutions DBA shipsierra.com,65.21,65.21,C,1,73,33.3,5,9.4,US PL Sacramento Factory,"North Highlands, CA",3pl,medium
1835,T3RA Logistics,65.21,65.21,C,1,73,33.3,5,9.4,US PL Sacramento Factory,"Sacramento, CA",3pl,medium
1836,"Get It Logistics, LLC",65.21,65.21,C,1,73,33.3,5,9.4,US DC NFI - Breinigsville,"Allentown, PA",3pl,medium
1837,"Advanced Logistics & Distribution Systems, LLC",65.21,64.04,C,2,73,33.3,5,9.4,US PL Sacramento Factory,"McClellan Park, CA",3pl,medium
1838,Rich Products Corporation,65.21,65.21,C,1,73,33.3,5,9.4,US PL S Houston Factory,"Missouri City, TX",shipper,low
1839,American Pasteurization Company,65.21,65.21,C,1,73,33.3,5,9.4,US PL Sacramento Factory,"West Sacramento, CA",shipper,low
1840,Romex HD Truck & Trailer Repair,65.13,65.13,C,1,77,26.7,5,8,US PL Sacramento Factory,"Sacramento, CA",shipper,low
1841,SPC Transport Co,65.1,65.1,D,1,91,0,5,2.8,US PL Poland Spring Factory,"Auburn, ME",carrier,low
1842,Keefe -Wisconsin,65.1,65.1,D,1,91,0,5,2.8,US PL Madison Factory,"Madison, WI",shipper,low
1843,State Line Distillery,65.1,65.1,D,1,91,0,5,2.8,US PL Madison Factory,"Madison, WI",shipper,low
1844,Eastern Fire,65.1,65.1,D,1,91,0,5,2.8,US PL Poland Spring Factory,"Auburn, ME",shipper,low
1845,Globe Footwear LLC,65.1,65.1,D,1,91,0,5,2.8,US PL Poland Spring Factory,"Auburn, ME",shipper,low
1846,West's Family Farm,65.1,65.1,D,1,91,0,5,2.8,US PL Poland Spring Factory,"Poland, ME",shipper,low
1847,Pardon My Cheesesteak,65.1,65.1,D,1,91,0,5,2.8,US DC Hot Springs (WHSE),"Hot Springs, AR",shipper,low
1848,Central Transport,65.1,41.93,C,10,91,0,5,2.8,US PL Madison Factory,"Madison, WI",carrier,low
1849,Frito-Lay Regional Warehouse,65.1,58.94,A,2,37,100,5,30.2,US PL Greenwood Indiana,"Whitestown, IN",shipper,high
1850,Hemond Farms,65.09,65.09,C,1,84,33.3,3,5.3,US PL Poland Spring Factory,"Minot, ME",shipper,low
1851,Crate & Barrel Warehouse,65.07,46.07,C,4,73,33.3,5,9.5,US PL Denver Factory,"Aurora, CO",shipper,medium
1852,GMI Mann Warehouse,65.07,65.07,C,1,73,33.3,5,9.5,US PL S Houston Factory,"Houston, TX",shipper,medium
1853,Frontier Logistics LP - Underwood Terminal,65.07,65.07,C,1,73,33.3,5,9.5,US PL Pasadena Factory,"La Porte, TX",3pl,medium
1854,Core Cold Storage,65.07,65.07,C,1,73,33.3,5,9.5,US PL Sacramento Factory,"West Sacramento, CA",shipper,medium
1855,Sunshine Place - Sunshine Pantry - Food Distribution Center,65.07,65.07,C,1,73,33.3,5,9.5,US PL Madison Factory,"Sun Prairie, WI",shipper,medium
1856,Splendid Packaging Logistics,65.07,65.07,C,1,73,33.3,5,9.5,US PL Dallas 2 Factory,"Irving, TX",3pl,medium
1857,Texas Distribution Center,65.07,65.07,C,1,73,33.3,5,9.5,US PL Dallas 2 Factory,"Lancaster, TX",shipper,medium
1858,Southwest Foods / Brookshire's Distribution Center,65.07,65.07,C,1,73,33.3,5,9.5,US PL Hawkins Factory,"Tyler, TX",shipper,medium
1859,MaxWarehouse,65.07,65.07,C,1,73,33.3,5,9.5,US PL Sacramento Factory,"Sacramento, CA",shipper,medium
1860,Happy Homes Distribution Center,65.07,65.07,C,1,73,33.3,5,9.5,US PL S Houston Factory,"Missouri City, TX",shipper,medium
1861,Elite Fulfillment Center,65.07,65.07,C,1,73,33.3,5,9.5,US DC NFI - Breinigsville,"Allentown, PA",3pl,medium
1862,Cross-docking service SM Express Inc,65.07,65.07,C,1,73,33.3,5,9.5,US PL Sacramento Factory,"West Sacramento, CA",shipper,low
1863,Saratoga Dry Aged Cuts,65.07,65.07,C,1,73,33.3,5,9.5,US PL Saratoga Spring Factory,"Ballston Lake, NY",shipper,low
1864,Hiland Dairy Ice Cream,65.07,65.07,C,1,73,33.3,5,9.5,US PL Hawkins Factory,"Tyler, TX",shipper,low
1865,Freight Systems,65.07,65.07,C,1,73,33.3,5,9.5,US PL Denver Factory,"Aurora, CO",shipper,low
1866,CoolBox Inc,64.99,64.99,D,1,80,20,5,6.7,US PL S Houston Factory,"Houston, TX",shipper,low
1867,WhiteStar Logistics,64.94,64.94,C,1,73,33.3,5,9.6,US PL S Houston Factory,"Houston, TX",3pl,medium
