Rank,Company,Best Composite,Mean Composite,Tier,Sites,Proximity,Fit %,Density,Min Distance (mi),Nearest Primo Site,"City, State",Segment,Confidence
5183,"Davis Express, Inc",24.41,24.41,D,1,39,0,1,28.3,US PL High Springs Factory,"Starke, FL",shipper,low
5184,Forest Tower Food Mart,24.4,24.4,C,1,26,33.3,0,40.2,US DC Hot Springs (WHSE),"Hensley, AR",shipper,low
5185,Packaging Personified,24.34,24.34,D,1,28,20,1,38.3,US PL Mecosta Factory,"Sparta, MI",shipper,low
5186,World Wine Bottles & Packaging,24.34,24.34,D,1,17,20,3,53.2,US PL Sacramento Factory,"American Canyon, CA",shipper,low
5187,CROSS-DOCKING SWEN WAREHOUSE Inc,24.33,24.33,C,1,21,33.3,1,47.4,US DC NFI - Breinigsville,"Fairless Hills, PA",shipper,medium
5188,MeloVRK Cross-Docking,24.33,24.33,C,1,21,33.3,1,47.4,US DC NFI - Breinigsville,"Fairless Hills, PA",shipper,low
5189,All American Cold Storage,24.25,24.25,C,1,20,33.3,1,47.6,US PL Denver Factory,"Greeley, CO",shipper,medium
5190,SPX FLOW,24.24,24.24,D,1,17,0,5,53.5,US PL High Springs Factory,"Ocala, FL",shipper,low
5191,Casa Foods,24.16,24.16,C,1,9,33.3,3,71,US PL Hollis Factory,"Middleton, MA",shipper,low
5192,Earthy Krunchy,24.14,24.14,C,1,9,33.3,3,71.1,US PL Hollis Factory,"Middleton, MA",shipper,low
5193,Ithaca Manufacturing Corp,24.13,24.13,D,1,29,26.7,0,36.8,US PL Mecosta Factory,"Ithaca, MI",shipper,medium
5194,St. Pete Paper & Packaging,24.09,24.09,D,1,17,20,3,54,US PL Zephyrhills Factory,"Palmetto, FL",shipper,low
5195,Prestige Storage - Jenison,24.09,19.2,D,11,17,0,5,37.2,US PL Mecosta Factory,"Muskegon, MI",shipper,low
5196,Ada Logistics Corporation,24.07,24.07,D,1,26,33.3,0,40.9,US PL Mecosta Factory,"Ada, MI",3pl,medium
5197,McClancy Foods & Flavors,24.07,24.07,C,1,20,33.3,1,48.1,US PL McBee Factory,"Fort Mill, SC",shipper,low
5198,W-Industries,24.06,24.06,D,1,38,0,1,28.8,US PL S Houston Factory,"Spring, TX",shipper,low
5199,"Premier Choice Logistics, Inc.",24.03,24.03,D,1,20,33.3,1,48.2,US PL Hawkins Factory,"Marshall, TX",3pl,medium
5200,Emergent Manufacturing Systems,24.02,24.02,D,1,29,26.7,0,37,US PL Hawkins Factory,"Frankston, TX",shipper,medium
5201,Goddess Food Factory,24.02,24.02,C,1,9,33.3,3,71.8,US PL High Springs Factory,"Jacksonville, FL",shipper,low
5202,Big Beverages Contract Manufacturing LLC,23.99,23.99,D,1,9,33.3,3,72,US PL McBee Factory,"Huntersville, NC",shipper,medium
5203,Gourmet Blending,23.94,23.94,C,1,9,33.3,3,72.3,US PL High Springs Factory,"Jacksonville, FL",shipper,low
5204,American Standard Manufacturing,23.92,23.92,D,1,29,26.7,0,37.2,US PL Saratoga Spring Factory,"Central Bridge, NY",shipper,medium
5205,Peterson Chemical Technology,23.92,23.92,D,1,5,20,5,88.1,US PL Hot Springs Factory,"Fort Smith, AR",shipper,low
5206,A Plus Warehouse,23.89,23.89,D,1,9,33.3,3,72.6,US PL Hollis Factory,"Beverly, MA",shipper,medium
