Rank,Composite,Proximity,Fit %,Density,Distance (mi),Nearest Primo Site,Tier,Segment,Confidence,Name,Account,"City, State",Vertical,Enterprise,Network,Corridor,Address
7048,21.28,15,33.3,1,56.8,US DC NFI - Breinigsville,C,shipper,low,NonStop Crossdock,,"Somerset, NJ",25,0,0,"Allentown, PA","101 Cottontail Ln, Somerset, NJ 08873, USA"
7049,21.22,20,33.3,0,47.7,US DC Hot Springs (WHSE),C,shipper,medium,Boughton Cold Storage,,"Prescott, AR",25,0,0,"Prescott, AR","109 Nevada 236 Rd S, Prescott, AR 71857, USA"
7050,21.19,33,0,1,33.2,US PL Zephyrhills Factory,D,shipper,low,Port Redwing,,"Gibsonton, FL",0,0,0,"Tampa, FL","6011 Diana Toledo Almeida Rd, Gibsonton, FL 33534, USA"
7051,21.17,15,33.3,1,57.2,US PL Hollis Factory,C,shipper,medium,Carparts Distribution Center,,"Plaistow, NH",25,0,0,"Auburn, ME","95a Plaistow Rd, Plaistow, NH 03865, USA"
7052,21.12,15,33.3,1,57.4,US DC NFI - Breinigsville,C,shipper,medium,JMS Express Crossdock and Warehouse,,"Hamilton Township, NJ",25,0,0,"Allentown, PA","3 Marlen Dr Building 3C, Hamilton Township, NJ 08691, USA"
7053,21.09,15,33.3,1,57.5,US PL Cabazon Factory,C,shipper,low,GK Foods Inc.,,"San Marcos, CA",25,0,0,"Vista, CA","133 Mata Way Suite 101, San Marcos, CA 92069, USA"
7054,21.07,33,0,1,33.4,US PL High Springs Factory,D,shipper,low,ANCORP,,"Williston, FL",0,0,0,"Ocala, FL","707 SW 19th Ave, Williston, FL 32696, USA"
7055,20.99,27,20,0,39,US PL Hawkins Factory,D,shipper,low,Frankston Packaging,,"Frankston, TX",15,0,0,"Tyler, TX","699 N Frankston Hwy, Frankston, TX 75763, USA"
7056,20.99,20,33.3,0,48.3,US PL McBee Factory,D,shipper,medium,"Pharmacy-Lite Prescription Packaging - Winnsboro, SC Manufacturing Plant and Distribution Center",,"Winnsboro, SC",25,0,0,"Columbia, SC","721 US Hwy 321 BYP South, Unit 1, Winnsboro, SC 29180, USA"
7057,20.97,11,0,5,66.6,US PL McBee Factory,D,shipper,low,NC Ports - Charlotte Inland Port (NCSPA),,"Charlotte, NC",0,0,0,"Charlotte, NC","1301 Exchange St, Charlotte, NC 28208, USA"
7058,20.96,14,33.3,1,58,US PL Dallas 2 Factory,C,3pl,medium,Delta Logistics,,"Greenville, TX",25,0,0,"Greenville, TX","1426 Lee St, Greenville, TX 75401, USA"
7059,20.96,4,33.3,3,100,US PL Madison Factory,C,shipper,low,CrossDock Connect,,"Mt Prospect, IL",25,0,0,"Elk Grove Village, IL","1910 Carboy Rd, Mt Prospect, IL 60056, USA"
7060,20.95,11,0,5,66.7,US PL Mecosta Factory,D,carrier,low,Central Transport,,"Lansing, MI",0,0,0,"Lansing, MI","6600 Central Cir, Lansing, MI 48917, USA"
7061,20.95,11,0,5,66.7,US PL Kingfield Factory,D,shipper,low,GE,,"Bangor, ME",0,0,0,"Bangor, ME","Maine Ave, Bangor, ME 04401, USA"
7062,20.92,20,33.3,0,48.5,US PL Hollis Factory,C,shipper,medium,The Flooring Warehouse,,"Candia, NH",25,0,0,"Auburn, ME","291 Raymond Rd #2A, Candia, NH 03034, USA"
7063,20.9,14,33.3,1,58.2,US PL McBee Factory,C,shipper,medium,Rustic Roots Warehouse,,"Rock Hill, SC",25,0,0,"Charlotte, NC","4362 Old York Rd, Rock Hill, SC 29732, USA"
7064,20.86,11,0,5,67.2,US PL High Springs Factory,D,shipper,low,Franklin Southern,,"Jacksonville, FL",0,0,0,"Jacksonville, FL","2120 Walnut St, Jacksonville, FL 32206, USA"
7065,20.84,11,0,5,67.3,US PL Mecosta Factory,D,shipper,low,MFPA,,"Lansing, MI",0,0,0,"Lansing, MI","121 W Allegan St, Lansing, MI 48933, USA"
7066,20.81,20,33.3,0,48.8,US PL Hollis Factory,D,3pl,medium,Sears Logistics Services,,"Kingston, NH",25,0,0,"Auburn, ME","266 NH-125, Kingston, NH 03848, USA"
7067,20.8,14,33.3,1,58.6,US PL Cabazon Factory,C,shipper,low,La Tortilla factory,,"Vista, CA",25,0,0,"Vista, CA","2575 Pioneer Ave #107, Vista, CA 92081, USA"
7068,20.79,21,0,3,46.2,US PL McBee Factory,D,shipper,low,Constantia Blythewood LLC,,"Blythewood, SC",0,0,0,"Columbia, SC","1111 Northpoint Blvd, Blythewood, SC 29016, USA"
