,,,,,,,,,Connectivity,Shipment,Shifts per,Guards per,DCs per,,,,Staging Area,,Driveway,,Backup,Entry/Exit,,,,Fast Lane,Dock Doors,,,,Drop Area,,,,Ship/Rcv,Urban /,Potential,Multiple,,Remote,
Name,Type,Archetype,Archetype Name,,WMS,TMS,YMS,EBOL,Available,Volume,Day,Shift,Shift,Truck Gate?,Guard Shack?,Remote GS?,Pre-Gate,Post-Gate,Long (3+),Short (1-2 trucks),Sensitive?,Together,Separate,Entry Lanes,Exit Lanes,Opportunity?,0-10,10-25,25-50,50+,0-10,10-25,25-50,50+,Separate?,Rural,Connectivity Issue?,Facilities?,Scale,Drop Yard,
Kraft Heinz - Lowville,Cheese Manufacturer,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,,YES,YES,,,YES,,1,1,,YES,,,,,YES,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Lowville/@43.7796387,-75.4830318,2222m/data=!3m1!1e3!4m6!3m5!1s0x89d892d726fd28c5:0x1ac5377ca0e961b9!8m2!3d43.777538!4d-75.4803505!16s%2Fg%2F1tks7979?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - New Ulm,Food,#4,Gate + GS (BU sens.),,,,,,,,3,,,YES,YES,,,YES,,YES,YES,YES,,1,2,,,YES,,,,,YES,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Foods/@44.2987287,-94.4352836,5126m/data=!3m1!1e3!4m6!3m5!1s0x87f4ffb17c91cf33:0x90274f47ee473c7b!8m2!3d44.2894712!4d-94.4336481!16s%2Fg%2F1tczfg5z?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Avon,Food Products Supplier,#10,Ship/Rcv Separate (Gate+GS),,,,,,,,1,,,YES,YES,,,YES,YES,,,YES,,1,1,,YES,,,,YES,,,,YES,Rural,YES,,,,"https://www.google.com/maps/place/KraftHeinz/@42.9061295,-77.75834,1776m/data=!3m1!1e3!4m6!3m5!1s0x89d15b579bf7a8cd:0x1d2c595299f09848!8m2!3d42.9050843!4d-77.755732!16s%2Fg%2F1td4fjl6?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Granite City,Food Manufacturer,#9,Gate + No GS (remote check-in),,,,,,,,3,,,YES,NO,YES,,YES,YES,,,YES,,1,1,,,YES,,,,,,YES,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Granite+City/@38.7210163,-90.1226516,9956m/data=!3m1!1e3!4m6!3m5!1s0x87df520b1c7a7ccb:0x9eee6d5101a5f011!8m2!3d38.720034!4d-90.1468659!16s%2Fg%2F1tmqgrn2?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz - Columbia,Manufacturer,#3,No Gate / No GS,,,,,,,,3,,,NO,NO,,YES,,,YES,,YES,,1,1,,YES,,,,YES,,,,,Rural,YES,,,,"https://www.google.com/maps/place/Kraft+Heinz-Columbia/@39.0123455,-92.2664494,1619m/data=!3m1!1e3!4m6!3m5!1s0x87dcc6548ac4d44f:0xe2514f2375afdccf!8m2!3d39.0100596!4d-92.2675202!16s%2Fg%2F1tf9tchh?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
Kraft Heinz/Ryder - Lathrop,Distribution Service,#3,No Gate / No GS,,,,,,,,2,,,NO,NO,,YES,,YES,,,YES,,1,2,,,,,YES,,,,YES,,Rural,YES,,,,"https://www.google.com/maps/place/Ryder%2F+KRAFT/@37.8091942,-121.2851431,1083m/data=!3m1!1e3!4m6!3m5!1s0x8090157f8cdc83a5:0x41147353c268eb43!8m2!3d37.8096478!4d-121.2817099!16s%2Fg%2F11g_x43fzq?entry=ttu&g_ep=EgoyMDI1MDIxMi4wIKXMDSoASAFQAw%3D%3D"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1,3,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
